species,observed_homerange,family,n_ind,geog_range,movement_keyword,demers_pelag,length,common_name,kfin,r_fin,diet_troph3,class,iucn_category,predicted_homerange,predicted_pld,observed_pld
Argyrops spinifer,NA,Sparidae,NA,13112500,habitat_coastal,demersal,70,NA,11308.83887,0.494486133,4.49,Actinopteri,LC,0.81434561,32.64854032,NA
Argyrosomus hololepidotus,NA,Sciaenidae,NA,347500,habitat_coastal,demersal,200,NA,81983.30163,0.227953054,4.48,Actinopteri,EN,0.041690961,39.22667388,NA
Argyrosomus regius,NA,Sciaenidae,NA,1400000,migratory,benthopelagic,230,NA,35019.83379,0.149075294,4.285853196,Actinopteri,LC,0.281488856,50.3067819,NA
Arripis trutta,NA,Arripidae,NA,930000,habitat_coastal,pelagic-neritic,89,NA,45063.22021,0.285831282,4.07,Actinopteri,NA,0.107406858,41.8810772,NA
Atheresthes evermanni,NA,Pleuronectidae,NA,1745000,habitat_benthic,demersal,100,NA,47522.58494,0.172236506,4.3,Actinopteri,NA,0.049485957,54.73702402,NA
Atheresthes stomias,NA,Pleuronectidae,NA,1287500,habitat_benthic,demersal,84,NA,3356654.472,0.192836543,4.17,Actinopteri,NA,0.06903522,53.2907325,NA
Atherina boyeri,NA,Atherinidae,NA,1385000,habitat_coastal,demersal,20,NA,5070.648817,0.812586347,3.286374067,Actinopteri,LC,0.001358615,37.62859705,NA
Atractoscion aequidens,NA,Sciaenidae,NA,4040000,habitat_coastal,benthopelagic,130,NA,2288.230401,0.311853212,4.482012652,Actinopteri,VU,0.069540562,38.08580397,NA
Atractoscion nobilis,NA,Sciaenidae,NA,522500,habitat_coastal,demersal,166,NA,1870.644824,0.296616436,4.332557971,Actinopteri,LC,0.060499065,36.46230551,NA
Atrobucca nibe,NA,Sciaenidae,NA,9827500,habitat_coastal,demersal,45,NA,25016.42764,0.460821512,3.977602624,Actinopteri,NA,0.131831752,27.85452849,NA
Atule mate,NA,Carangidae,NA,11757500,habitat_reef,reef-associated,30,NA,1356.375346,1.254655656,4.22,Actinopteri,LC,0.00901695,43.36994665,NA
Austroglossus microlepis,NA,Soleidae,NA,307500,habitat_benthic,bathydemersal,75,NA,11375.11571,0.185580881,3.529238154,Actinopteri,DD,0.017644516,53.50886061,NA
Austroglossus pectoralis,NA,Soleidae,NA,172500,habitat_benthic,demersal,60,NA,9694.211567,0.267643426,4.042989109,Actinopteri,NA,0.010732274,53.00643939,NA
Auxis thazard,NA,Scombridae,NA,24452500,pelagic,pelagic-neritic,65,NA,1188784.853,0.704484871,4.37,Actinopteri,NA,0.94085586,23.71398908,10
Belone belone,NA,Belonidae,NA,2555000,pelagic,pelagic-oceanic,104,NA,26192.69803,0.478994871,4.16,Actinopteri,LC,0.168957285,28.82918244,NA
Beryx decadactylus,NA,Berycidae,NA,19952500,habitat_deep,bathydemersal,100,NA,10665.2007,0.158706812,4.136398373,Actinopteri,LC,0.725687529,36.48172493,NA
Beryx splendens,NA,Berycidae,NA,17805000,habitat_deep,benthopelagic,70,NA,11085.67752,0.241932168,4.27,Actinopteri,LC,0.731922506,35.84925657,NA
Bolbometopon muricatum,NA,Scaridae,NA,10460000,habitat_reef,reef-associated,130,NA,921.481753,0.236827261,2.772623112,Actinopteri,VU,0.144313172,37.50414119,31
Boops boops,NA,Sparidae,NA,2757500,pelagic,demersal,40,NA,289938.8997,0.47071232,2.79,Actinopteri,LC,0.090042931,35.70276038,16.8
Bothus pantherinus,NA,Bothidae,NA,9750000,habitat_benthic,reef-associated,39,NA,223.1836131,0.785631156,3.547920007,Actinopteri,LC,0.025279807,47.33313183,NA
Brachydeuterus auritus,NA,Haemulidae,NA,650000,habitat_coastal,benthopelagic,30,NA,70828.46313,0.674190072,3.108896464,Actinopteri,NT,0.00144138,37.21221915,NA
Brama brama,NA,Bramidae,NA,140227500,migratory,pelagic-neritic,100,NA,70090.69367,0.25373223,4.089693741,Actinopteri,LC,3778.076453,46.54465969,NA
Bregmaceros mcclellandi,NA,Bregmacerotidae,NA,62220000,pelagic,pelagic-oceanic,9.600000381,NA,24255.36307,0.389520618,3.361101478,Actinopteri,NA,0.015678822,36.11200266,NA
Brevoortia aurea,NA,Clupeidae,NA,317500,habitat_coastal,pelagic-neritic,34.40000153,NA,7670.443707,0.938769682,2.847350524,Actinopteri,LC,8.59E-04,37.07042123,NA
Brevoortia patronus,NA,Clupeidae,NA,485000,habitat_coastal,pelagic-neritic,35,NA,977143.8443,0.843108206,2.324258643,Actinopteri,LC,0.002239816,44.82612408,NA
Brevoortia tyrannus,NA,Clupeidae,NA,335000,migratory,pelagic-neritic,50,NA,762986.4651,0.724306854,3.23,Actinopteri,LC,0.025415266,41.24702549,NA
Brosme brosme,NA,Lotidae,NA,2245000,habitat_benthic,demersal,120,NA,449997.8369,0.105232173,3.9,Actinopteri,NA,0.123028549,59.60763704,NA
